lead_id,age,income_lpa,family_size,marital_status,home_lat,home_lon,visits_last_30d,days_since_last_visit,dwell_time_mins,downloads,companion_flag,broker_flag,open_house_flag,finance_brochure_flag
L000,38,21.8,2,single,19.10078,72.98736,0,11,8.7,2,0,0,0,0
L001,33,22.8,2,married,18.89898,72.77735,3,2,53.9,0,0,0,0,0
L002,40,25.4,1,single,18.93518,72.8933,3,30,19.4,0,0,0,0,0
L003,47,25.3,4,single,19.14433,72.80999,2,19,7.4,0,0,0,0,0
L004,33,13.1,4,single,19.08709,72.9995,5,1,0.7,0,0,0,0,0
L005,33,15.3,5,married,19.0516,72.72768,2,18,17.8,0,1,0,0,0
L006,47,22.6,5,married,19.07184,72.82411,5,12,9.1,0,0,0,0,1
L007,41,22.6,3,married,19.10476,72.91772,0,1,1.2,2,0,1,0,0
L008,31,22.6,3,single,19.01602,73.03655,1,9,1.0,1,0,0,0,0
L009,39,39.3,4,married,18.99217,72.87342,1,10,24.0,1,0,0,0,0
