lead_id,age,income_lpa,family_size,marital_status,home_lat,home_lon,visits_last_30d,days_since_last_visit,dwell_time_mins,downloads,companion_flag,broker_flag,open_house_flag,finance_brochure_flag
L0000,38,27.0,2,single,19.17684,72.81864,1,4,26.8,1,1,0,0,0
L0001,33,24.6,1,married,19.13041,72.89962,0,2,5.1,0,0,1,0,1
L0002,40,20.3,2,married,19.30036,72.93458,2,5,30.6,1,0,0,0,1
L0003,47,16.8,1,single,18.92206,72.66284,3,3,12.1,2,1,0,0,0
L0004,33,23.5,4,married,19.19592,72.87919,2,0,0.4,0,0,0,0,0
L0005,33,22.0,4,married,19.18464,72.89581,2,36,23.7,2,0,0,1,0
L0006,47,24.5,1,single,18.97266,72.85225,1,0,6.6,0,0,0,0,0
L0007,41,23.2,5,married,19.17071,73.00913,0,20,6.2,1,0,0,0,1
L0008,31,25.2,3,single,19.10361,72.92218,2,2,8.4,2,0,1,0,1
L0009,39,17.3,2,married,19.04725,73.01102,3,36,1.6,1,0,1,0,0
