age,income_lpa,family_size,marital_status,home_lat,home_lon,visits_last_30d,days_since_last_visit,dwell_time_mins,downloads,companion_flag,broker_flag,open_house_flag,finance_brochure_flag
38,27.0,2,single,19.17684,72.81864,1,4,26.8,1,1,0,0,0
33,24.6,1,married,19.13041,72.89962,0,2,5.1,0,0,1,0,1
40,20.3,2,married,19.30036,72.93458,2,5,30.6,1,0,0,0,1
47,16.8,1,single,18.92206,72.66284,3,3,12.1,2,1,0,0,0
33,23.5,4,married,19.19592,72.87919,2,0,0.4,0,0,0,0,0
33,22.0,4,married,19.18464,72.89581,2,36,23.7,2,0,0,1,0
47,24.5,1,single,18.97266,72.85225,1,0,6.6,0,0,0,0,0
41,23.2,5,married,19.17071,73.00913,0,20,6.2,1,0,0,0,1
31,25.2,3,single,19.10361,72.92218,2,2,8.4,2,0,1,0,1
39,17.3,2,married,19.04725,73.01102,3,36,1.6,1,0,1,0,0
31,26.6,1,single,18.98761,72.8584,3,33,6.3,2,0,0,0,0
31,21.0,3,married,18.99809,72.97375,3,16,17.8,1,0,0,1,0
36,30.4,3,single,19.27498,73.04351,3,17,0.2,2,0,0,0,0
21,16.6,3,married,19.07007,73.01117,0,0,3.2,0,1,0,1,0
21,28.7,1,single,19.14821,72.77079,1,60,0.0,2,0,0,0,0
30,21.0,1,married,18.99091,72.85463,2,32,5.4,0,1,0,0,0
26,16.7,2,married,18.99201,72.84548,1,34,13.0,0,0,0,0,0
37,17.6,2,married,19.1782,72.92893,4,16,16.0,0,0,0,0,0
27,18.4,2,married,18.93504,72.94864,0,6,29.0,3,1,0,1,0
23,22.1,2,married,19.02848,72.79611,1,34,9.4,1,0,0,0,0
46,22.6,4,married,19.0734,72.88678,4,5,2.9,0,0,0,0,0
33,17.1,4,married,19.08114,72.67801,1,12,25.8,3,0,0,0,1
35,19.9,2,single,19.05209,73.02419,2,2,14.9,2,0,0,0,0
23,30.7,4,married,19.10958,72.82876,4,38,8.5,0,1,0,1,1
30,28.6,2,married,19.13929,72.88559,2,2,11.9,2,1,0,0,1
35,22.2,2,married,19.14346,72.84904,3,4,25.8,1,0,0,0,0
25,20.2,2,married,18.97142,72.9946,1,12,12.5,0,0,0,0,0
38,20.6,3,single,19.04158,72.59625,2,22,4.6,2,0,0,0,1
30,23.1,5,single,19.18948,72.87834,1,14,12.5,0,1,0,0,0
32,14.9,3,married,19.15946,72.86942,3,4,0.4,1,1,0,0,1
30,18.7,2,married,18.93271,72.83464,3,0,4.9,2,1,0,0,0
49,11.7,3,married,19.10515,73.05262,1,21,5.2,0,0,1,0,0
34,22.0,1,married,18.87218,72.79127,3,60,1.8,0,1,0,1,0
26,23.2,4,married,19.07469,72.95718,3,25,0.2,0,0,1,0,0
41,17.6,3,single,19.25978,72.91563,3,9,1.4,0,0,1,0,1
25,27.9,2,married,18.97521,73.00615,2,35,10.6,1,1,0,1,0
